 ======== AdaboostLassoCV10 ========
Liquid Phase
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,2.0%,5.094,2852.543,53.409,0.158
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,1.0%,1.359,24.712,4.971,0.910

Vapor Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,17.0%,13.461,5978.518,77.321,0.701
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,34.0%,27.934,19430.629,139.394,-16.596

Supercritical Phase - GradientBoosting
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,6.0%,7.542,863.444,29.384,0.818
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,8.0%,8.930,1004.632,31.696,0.782


 ======== KNeighborsCV10 ========
Liquid Phase - KNeighbors
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,6.0%,8.439,3143.897,56.070,0.072
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,5.0%,4.606,243.990,15.620,0.111

Vapor Phase - KNeighbors
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,23.0%,31.099,20606.529,143.550,-0.029
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,22.0%,13.638,1823.390,42.701,-0.651

Supercritical Phase - KNeighbors
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,21.0%,21.503,2983.892,54.625,0.372
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,21.0%,21.504,2989.606,54.677,0.350


 ======== KNeighborsCVLOO ========
Liquid Phase - KNeighbors
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,4.0%,7.357,3073.061,55.435,0.093
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,4.0%,3.616,160.526,12.670,0.415

Vapor Phase - KNeighbors
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,34.0%,21.840,4706.593,68.605,0.765
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,47.0%,30.497,12076.373,109.893,-9.936

Supercritical Phase - KNeighbors
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,14.0%,13.234,819.535,28.628,0.828
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,16.0%,14.477,927.620,30.457,0.798


 ======== NeuralNetworkCV10 ========
Liquid Phase - NeuralNetwork
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,19.0%,16.271,3236.493,56.890,0.045
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,18.0%,12.350,252.537,15.891,0.080

Vapor Phase - NeuralNetwork
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,56.0%,43.143,20626.395,143.619,-0.030
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,54.0%,25.658,1589.176,39.864,-0.439

Supercritical Phase - NeuralNetwork
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,47.0%,33.885,4679.182,68.405,0.015
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,42.0%,32.598,4528.781,67.296,0.016


 ======== NeuralNetworkCVLOO ========
Liquid Phase - NeuralNetwork
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,23.0%,19.166,3489.824,59.075,-0.030
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,23.0%,15.291,448.392,21.175,-0.634

Vapor Phase - NeuralNetwork
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,84.0%,56.813,23767.854,154.168,-0.187
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,83.0%,39.516,3979.447,63.083,-2.604

Supercritical Phase - NeuralNetwork
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,43.0%,34.487,5109.605,71.482,-0.075
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,40.0%,33.551,4975.510,70.537,-0.081


 ======== RandomForestCV10 ========
Liquid Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,3.0%,6.278,2906.797,53.915,0.142
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,3.0%,2.390,48.305,6.950,0.824

Vapor Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,19.0%,28.298,19309.547,138.959,0.036
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,18.0%,10.818,907.213,30.120,0.178

Supercritical Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,13.0%,16.333,2467.806,49.677,0.481
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,13.0%,16.373,2460.793,49.606,0.465


 ======== RandomForestCVLOO ========
Liquid Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,2.0%,5.038,2912.242,53.965,0.140
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,1.0%,1.204,20.053,4.478,0.927

Vapor Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,37.0%,31.613,14740.802,121.412,0.264
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,40.0%,22.780,5489.801,74.093,-3.971

Supercritical Phase - RandomForest
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,7.0%,9.494,927.602,30.457,0.805
Exp x NIST,4.0%,2.389,32.386,5.691,0.993
NIST x Model,9.0%,10.572,1049.895,32.402,0.772


 ======== XGBCV10 ========
Liquid Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,13.0%,12.750,3262.149,57.115,0.037
Exp x NIST,1.0%,4.215,2820.264,53.106,0.167
NIST x Model,12.0%,8.703,178.908,13.376,0.348

Vapor Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,33.0%,34.099,20050.694,141.600,-0.001
Exp x NIST,2.0%,18.556,17686.113,132.989,0.117
NIST x Model,31.0%,16.582,1235.355,35.148,-0.119

Supercritical Phase - XGB
Comparison,MAPE,MAE,MSE,RMSE,R2
Exp x Model,27.0%,26.271,3722.911,61.016,0.217
