Temperature (K),Pressure (MPa),Viscosity (uPa*s),Reference
323.15,0.1,11.98,Kongo-1988
323.15,0.52,12.03,Kongo-1988
323.15,0.97,12.08,Kongo-1988
323.15,1.97,12.23,Kongo-1988
323.15,3.52,12.51,Kongo-1988
323.15,4.72,12.75,Kongo-1988
348.15,0.1,12.79,Kongo-1988
348.15,0.52,12.83,Kongo-1988
348.15,1.54,12.94,Kongo-1988
348.15,2.6,13.1,Kongo-1988
348.15,3.58,13.27,Kongo-1988
348.15,4.74,13.45,Kongo-1988
373.15,0.1,13.51,Kongo-1988
373.15,0.52,13.56,Kongo-1988
373.15,1.01,13.58,Kongo-1988
373.15,2.03,13.72,Kongo-1988
373.15,2.94,13.84,Kongo-1988
373.15,4.09,14.0,Kongo-1988
373.15,4.94,14.14,Kongo-1988
298.15,0.11,11.05,van der Gulik-1988
298.15,0.97,11.04,van der Gulik-1988
298.15,3.21,11.55,van der Gulik-1988
298.15,5.22,12.31,van der Gulik-1988
298.15,7.47,13.27,van der Gulik-1988
298.15,9.54,14.04,van der Gulik-1988
298.15,12.22,15.24,van der Gulik-1988
298.15,15.17,16.91,van der Gulik-1988
298.15,17.67,18.35,van der Gulik-1988
298.15,20.49,20.15,van der Gulik-1988
298.15,25.06,22.98,van der Gulik-1988
298.15,30.47,26.07,van der Gulik-1988
298.15,34.01,27.98,van der Gulik-1988
298.15,40.24,31.22,van der Gulik-1988
298.15,50.45,35.68,van der Gulik-1988
298.15,59.95,39.85,van der Gulik-1988
298.15,69.92,44.1,van der Gulik-1988
298.15,81.02,48.01,van der Gulik-1988
298.15,92.06,51.82,van der Gulik-1988
298.15,103.15,55.61,van der Gulik-1988
298.15,124.35,62.88,van der Gulik-1988
298.15,150.12,71.23,van der Gulik-1988
298.15,175.88,78.76,van der Gulik-1988
298.15,201.59,86.5,van der Gulik-1988
298.15,249.8,101.9,van der Gulik-1988
298.15,300.0,116.4,van der Gulik-1988
298.15,348.6,132.1,van der Gulik-1988
298.15,400.4,148.4,van der Gulik-1988
298.15,450.4,164.0,van der Gulik-1988
298.15,500.2,180.3,van der Gulik-1988
298.15,550.7,197.5,van der Gulik-1988
298.15,600.4,215.0,van der Gulik-1988
298.15,650.1,232.6,van der Gulik-1988
298.15,700.7,253.3,van der Gulik-1988
298.15,751.5,273.9,van der Gulik-1988
298.15,799.8,292.9,van der Gulik-1988
298.15,852.8,316.6,van der Gulik-1988
298.15,902.1,336.7,van der Gulik-1988
298.15,951.2,360.5,van der Gulik-1988
298.15,1002.4,385.1,van der Gulik-1988
300.0,27.52,23.08,Diller-1980
300.0,24.61,21.63,Diller-1980
300.0,21.98,20.11,Diller-1980
300.0,19.86,18.89,Diller-1980
300.0,17.59,17.6,Diller-1980
300.0,14.22,16.17,Diller-1980
300.0,10.66,14.1,Diller-1980
300.0,8.59,13.43,Diller-1980
300.0,6.58,12.57,Diller-1980
300.0,4.46,12.13,Diller-1980
