Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
180.500	3.20000	56.5745	0.0176758	7.81388	8.72130	53.5616	32.7618	98.2013	273.157	12.8168	8.04099	0.0313390	vapor
180.600	3.20000	56.4053	0.0177288	7.82093	8.73107	53.6157	32.6821	97.2565	273.586	12.7973	8.04311	0.0312683	vapor
185.500	3.20000	50.1784	0.0199289	8.11042	9.13351	55.8158	30.2944	71.8043	290.680	11.8854	8.15500	0.0292606	vapor
193.200	3.20000	44.2081	0.0226203	8.46286	9.62411	58.4090	28.7915	57.8502	310.208	10.6837	8.35776	0.0278748	vapor
193.100	3.20000	44.2701	0.0225886	8.45869	9.61832	58.3791	28.8044	57.9635	309.985	10.6977	8.35498	0.0278927	vapor
202.900	3.20000	39.2922	0.0254504	8.83767	10.1442	61.0371	27.8980	50.3083	329.568	9.48964	8.63929	0.0273254	vapor
202.900	3.20000	39.2922	0.0254504	8.83767	10.1442	61.0371	27.8980	50.3083	329.568	9.48964	8.63929	0.0273254	vapor
116.480	1.03000	416.147	0.00240300	0.251256	0.290963	2.23945	32.6841	56.2492	1298.71	-0.398996	107.196	0.177980	liquid
122.040	1.03000	407.691	0.00245284	0.565276	0.605807	4.87977	32.2997	57.0262	1241.64	-0.369775	95.9435	0.170071	liquid
127.590	1.03000	398.901	0.00250689	0.883380	0.924804	7.43579	31.9373	57.9574	1183.03	-0.334467	86.0912	0.162097	liquid
133.150	1.03000	389.670	0.00256627	1.20770	1.25011	9.93125	31.5983	59.0998	1122.37	-0.291084	77.3512	0.154047	liquid
138.710	1.03000	379.918	0.00263215	1.53903	1.58253	12.3769	31.2880	60.5318	1059.28	-0.236996	69.5502	0.145935	liquid
144.260	1.03000	369.526	0.00270617	1.87865	1.92336	14.7860	31.0137	62.3753	993.233	-0.168267	62.5434	0.137756	liquid
155.370	1.03000	15.1684	0.0659267	8.06685	9.15623	63.0875	27.4997	43.4866	296.406	16.2799	6.07955	0.0185401	vapor
160.930	1.03000	14.3333	0.0697674	8.23974	9.39258	64.5823	27.0076	41.6572	305.714	14.9742	6.32263	0.0189181	vapor
166.480	1.03000	13.6158	0.0734441	8.40645	9.62005	65.9720	26.6825	40.3767	314.296	13.8742	6.55390	0.0193758	vapor
172.040	1.03000	12.9855	0.0770088	8.56924	9.84174	67.2820	26.4442	39.4096	322.350	12.9198	6.77820	0.0198886	vapor
177.590	1.03000	12.4264	0.0804738	8.72853	10.0583	68.5209	26.2640	38.6554	329.953	12.0823	6.99676	0.0204406	vapor
183.150	1.03000	11.9233	0.0838694	8.88561	10.2715	69.7030	26.1269	38.0533	337.201	11.3370	7.21156	0.0210285	vapor
188.710	1.03000	11.4676	0.0872025	9.04071	10.4817	70.8335	26.0247	37.5683	344.134	10.6697	7.42300	0.0216654	vapor
194.260	1.03000	11.0525	0.0904773	9.19398	10.6890	71.9166	25.9516	37.1757	350.778	10.0692	7.63124	0.0222070	vapor
199.820	1.03000	10.6708	0.0937137	9.34628	10.8948	72.9611	25.9031	36.8562	357.190	9.52350	7.83739	0.0227606	vapor
205.370	1.03000	10.3193	0.0969062	9.49733	11.0986	73.9671	25.8763	36.5978	363.372	9.02664	8.04098	0.0233435	vapor
210.930	1.03000	9.99285	0.100072	9.64791	11.3015	74.9419	25.8687	36.3895	369.366	8.57031	8.24294	0.0239436	vapor
216.480	1.03000	9.68970	0.103202	9.79766	11.5030	75.8848	25.8785	36.2248	375.166	8.15077	8.44266	0.0245542	vapor
222.040	1.03000	9.40614	0.106314	9.94729	11.7040	76.8017	25.9046	36.0971	380.809	7.76201	8.64100	0.0251757	vapor
227.590	1.03000	9.14104	0.109397	10.0964	11.9041	77.6917	25.9456	36.0024	386.286	7.40169	8.83730	0.0258048	vapor
233.150	1.03000	8.89162	0.112465	10.2457	12.1041	78.5598	26.0011	35.9369	391.627	7.06536	9.03235	0.0264435	vapor
