Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
280.000	0.800000	5.60980	0.178259	11.5430	13.8308	87.3538	26.9258	35.9843	432.777	4.93743	10.5820	0.0320039	vapor
280.000	0.900000	6.32491	0.158105	11.5303	13.8131	86.3289	26.9457	36.1022	432.376	4.93187	10.5973	0.0320781	vapor
280.000	1.00000	7.04316	0.141982	11.5175	13.7952	85.4072	26.9657	36.2213	431.979	4.92620	10.6130	0.0321531	vapor
280.000	1.24000	8.77988	0.113897	11.4865	13.7523	83.5084	27.0139	36.5120	431.041	4.91208	10.6518	0.0323361	vapor
280.000	1.50000	10.6822	0.0936139	11.4528	13.7055	81.8054	27.0664	36.8349	430.050	4.89594	10.6957	0.0325396	vapor
280.000	1.75000	12.5320	0.0797957	11.4201	13.6603	80.4070	27.1172	37.1535	429.124	4.87957	10.7400	0.0327409	vapor
280.000	1.99000	14.3272	0.0697974	11.3884	13.6167	79.2257	27.1662	37.4669	428.260	4.86302	10.7844	0.0329393	vapor
280.000	2.23000	16.1416	0.0619519	11.3565	13.5729	78.1653	27.2155	37.7879	427.422	4.84562	10.8306	0.0331432	vapor
280.000	2.50000	18.2059	0.0549272	11.3203	13.5233	77.0863	27.2712	38.1582	426.512	4.82500	10.8849	0.0333793	vapor
280.000	2.74000	20.0618	0.0498460	11.2879	13.4790	76.2088	27.3209	38.4957	425.734	4.80568	10.9353	0.0335954	vapor
280.000	3.00000	22.0947	0.0452597	11.2525	13.4308	75.3292	27.3750	38.8703	424.924	4.78368	10.9921	0.0338363	vapor
280.000	3.25000	24.0716	0.0415428	11.2182	13.3842	74.5418	27.4272	39.2394	424.180	4.76141	11.0491	0.0340750	vapor
280.000	10.4800	90.3401	0.0110693	10.1267	11.9878	61.0562	28.8409	52.9902	426.588	3.56198	13.8775	0.0447915	supercritical
280.000	10.5000	90.5420	0.0110446	10.1236	11.9840	61.0301	28.8440	53.0302	426.684	3.55730	13.8888	0.0448319	supercritical
280.000	10.5200	90.7440	0.0110200	10.1204	11.9802	61.0039	28.8471	53.0702	426.780	3.55262	13.9002	0.0448725	supercritical
280.000	10.5400	90.9460	0.0109955	10.1172	11.9765	60.9779	28.8502	53.1102	426.877	3.54794	13.9115	0.0449130	supercritical
280.000	10.5500	91.0471	0.0109833	10.1156	11.9746	60.9648	28.8518	53.1301	426.926	3.54560	13.9172	0.0449333	supercritical
