Temperature (K)	Pressure (MPa)	Density (kg/m3)	Reference	Outlier
116.0	19.648	433.09604	Goodwin-1972	1
116.0	19.6471	433.09604	Goodwin-1972	1
118.0	22.3568	432.69504	Goodwin-1972	1
120.0	25.0862	432.31008	Goodwin-1972	1
122.0	27.6278	431.97324	Goodwin-1972	1
124.0	33.5898	431.66848	Goodwin-1972	1
126.0	33.3424	431.3958	Goodwin-1972	1
98.0	1.2457	442.47944	Goodwin-1972	1
100.0	4.1407	438.66192	Goodwin-1972	1
102.0	6.8696	441.3566399999999	Goodwin-1972	1
104.0	9.627	440.79524	Goodwin-1972	1
106.0	12.4002	440.2498799999999	Goodwin-1972	1
108.0	15.1756	439.70452	Goodwin-1972	1
110.0	17.9649	439.20728	Goodwin-1972	1
112.0	20.7794	438.74212	Goodwin-1972	1
114.0	23.6148	438.34112	Goodwin-1972	1
116.0	26.4752	437.9722	Goodwin-1972	1
116.0	26.4894	437.9722	Goodwin-1972	1
118.0	29.3612	437.6514	Goodwin-1972	1
120.0	32.2446	437.34664	Goodwin-1972	1
94.0	0.7513	447.5159999999999	Goodwin-1972	1
96.0	3.7517	438.82232	Goodwin-1972	1
98.0	6.5617	443.105	Goodwin-1972	1
100.0	9.4061	445.73556	Goodwin-1972	1
102.0	12.2725	445.15812	Goodwin-1972	1
104.0	15.1363	444.61276	Goodwin-1972	1
106.0	13.0222	444.08344	Goodwin-1972	1
108.0	20.9351	443.61828	Goodwin-1972	1
110.0	23.3728	443.1852	Goodwin-1972	1
112.0	26.8394	442.81628	Goodwin-1972	1
114.0	29.8261	442.47944	Goodwin-1972	1
116.0	32.6347	442.17468	Goodwin-1972	1
92.0	4.4123	452.47236	Goodwin-1972	1
94.0	7.2852	419.847	Goodwin-1972	1
96.0	10.2543	451.31748	Goodwin-1972	1
98.0	13.2363	418.66004	Goodwin-1972	1
100.0	16.218	450.17864	Goodwin-1972	1
100.0	16.219	450.17864	Goodwin-1972	1
102.0	19.2243	449.66536	Goodwin-1972	1
104.0	22.2687	449.18416	Goodwin-1972	1
106.0	26.3551	448.73504	Goodwin-1972	1
106.0	28.4641	448.3981999999999	Goodwin-1972	1
110.0	31.5018	448.0774	Goodwin-1972	1
112.0	34.7627	447.77264	Goodwin-1972	1
94.0	12.8133	455.39164	Goodwin-1972	1
96.0	15.8893	454.79816	Goodwin-1972	1
96.0	18.9886	422.18884	Goodwin-1972	1
100.0	22.1338	453.7715999999999	Goodwin-1972	1
102.0	25.3222	421.27456	Goodwin-1972	1
104.0	28.544	452.9695999999999	Goodwin-1972	1
106.0	31.8049	452.63276	Goodwin-1972	1
108.0	35.0306	420.24799999999993	Goodwin-1972	1
95.5	22.4938	457.97408	Goodwin-1972	1
37.0	23.3128	425.7818	Goodwin-1972	-1
98.0	24.9643	457.63724	Goodwin-1972	1
100.0	28.2843	457.25228	Goodwin-1972	1
100.0	28.2935	457.25228	Goodwin-1972	1
104.0	35.0093	456.59464	Goodwin-1972	1
