# Temperature (K)	Pressure (MPa)	Experimental(uPas)	NIST(uPas)	Model(uPas)
3.400000000000000000e+02	2.098999999999999844e+01	1.840899999999999892e+01	1.838159999999999883e+01	1.819839145090144328e+01
3.400000000000000000e+02	2.198999999999999844e+01	1.882000000000000028e+01	1.879289999999999949e+01	1.896870134125361673e+01
3.400000000000000000e+02	2.294999999999999929e+01	1.921900000000000119e+01	1.919059999999999988e+01	1.917081119697843405e+01
3.400000000000000000e+02	2.387999999999999901e+01	1.960300000000000153e+01	1.957770000000000010e+01	1.930351408208810327e+01
3.400000000000000000e+02	2.496000000000000085e+01	2.005399999999999849e+01	2.002840000000000131e+01	1.971515976825624250e+01
3.400000000000000000e+02	2.596000000000000085e+01	2.047899999999999920e+01	2.044600000000000151e+01	2.067638757713511310e+01
3.400000000000000000e+02	2.694999999999999929e+01	2.088800000000000168e+01	2.085889999999999844e+01	2.051237063010826489e+01
3.400000000000000000e+02	2.780000000000000071e+01	2.124399999999999977e+01	2.121249999999999858e+01	2.115867005348226826e+01
3.400000000000000000e+02	2.876999999999999957e+01	2.164699999999999847e+01	2.161469999999999914e+01	2.169403847294896437e+01
3.600000000000000000e+02	4.750000000000000000e+00	1.367200000000000060e+01	1.369079999999999941e+01	1.371354135737230884e+01
3.600000000000000000e+02	5.000000000000000000e+00	1.371499999999999986e+01	1.373620000000000019e+01	1.376035530041436061e+01
3.600000000000000000e+02	5.500000000000000000e+00	1.380599999999999916e+01	1.382949999999999946e+01	1.365306845696970051e+01
3.600000000000000000e+02	6.009999999999999787e+00	1.390600000000000058e+01	1.392830000000000013e+01	1.381545990671937396e+01
3.600000000000000000e+02	6.500000000000000000e+00	1.400399999999999956e+01	1.402660000000000018e+01	1.389726996302617579e+01
3.600000000000000000e+02	7.000000000000000000e+00	1.411299999999999955e+01	1.413030000000000008e+01	1.392328266087921484e+01
3.600000000000000000e+02	7.500000000000000000e+00	1.421700000000000053e+01	1.423739999999999917e+01	1.405061798650748983e+01
3.600000000000000000e+02	8.019999999999999574e+00	1.433300000000000018e+01	1.435239999999999938e+01	1.418359051370324941e+01
3.600000000000000000e+02	8.509999999999999787e+00	1.444999999999999929e+01	1.446419999999999995e+01	1.461237297881066688e+01
3.600000000000000000e+02	8.980000000000000426e+00	1.456099999999999994e+01	1.457440000000000069e+01	1.459968548143092804e+01
3.600000000000000000e+02	9.480000000000000426e+00	1.468399999999999928e+01	1.469490000000000052e+01	1.467620440815005978e+01
3.600000000000000000e+02	1.000000000000000000e+01	1.481400000000000006e+01	1.482370000000000054e+01	1.484802182348682464e+01
