# Temperature (K)	Pressure (MPa)	Experimental(uPas)	NIST(uPas)	Model(uPas)
2.800000000000000000e+02	1.000000000000000056e-01	1.048399999999999999e+01	1.048230000000000040e+01	1.300643496053564974e+01
2.800000000000000000e+02	2.000000000000000111e-01	1.050399999999999956e+01	1.049569999999999936e+01	1.276212024275693224e+01
2.800000000000000000e+02	2.999999999999999889e-01	1.051900000000000013e+01	1.050939999999999941e+01	1.197262758106701952e+01
2.800000000000000000e+02	4.000000000000000222e-01	1.053599999999999959e+01	1.052330000000000076e+01	1.273834113137072244e+01
2.800000000000000000e+02	5.000000000000000000e-01	1.054700000000000060e+01	1.053759999999999941e+01	1.243786017635394359e+01
2.800000000000000000e+02	5.999999999999999778e-01	1.056400000000000006e+01	1.055209999999999937e+01	1.227450832660765734e+01
2.800000000000000000e+02	6.999999999999999556e-01	1.057399999999999984e+01	1.056690000000000040e+01	1.302978287700132753e+01
2.800000000000000000e+02	8.000000000000000444e-01	1.058900000000000041e+01	1.058200000000000074e+01	1.312961538661840066e+01
2.800000000000000000e+02	9.000000000000000222e-01	1.060399999999999920e+01	1.059730000000000061e+01	1.205754139674030156e+01
2.800000000000000000e+02	1.000000000000000000e+00	1.061899999999999977e+01	1.061299999999999955e+01	1.199433375939181623e+01
2.800000000000000000e+02	1.239999999999999991e+00	1.065600000000000058e+01	1.065179999999999971e+01	-2.854104821275194048e-01
2.800000000000000000e+02	1.500000000000000000e+00	1.069899999999999984e+01	1.069570000000000043e+01	1.259474138281341915e+01
2.800000000000000000e+02	1.750000000000000000e+00	1.074200000000000088e+01	1.074000000000000021e+01	1.228687710455222515e+01
2.800000000000000000e+02	1.989999999999999991e+00	1.078899999999999970e+01	1.078439999999999976e+01	1.311851129583885367e+01
2.800000000000000000e+02	2.229999999999999982e+00	1.083200000000000074e+01	1.083060000000000045e+01	1.251582324707118232e+01
2.800000000000000000e+02	2.500000000000000000e+00	1.088700000000000045e+01	1.088490000000000002e+01	1.190734139520271206e+01
2.800000000000000000e+02	2.740000000000000213e+00	1.093900000000000006e+01	1.093529999999999980e+01	1.350824585988932647e+01
2.800000000000000000e+02	3.000000000000000000e+00	1.099000000000000021e+01	1.099210000000000065e+01	1.224429133147231319e+01
2.800000000000000000e+02	3.250000000000000000e+00	1.104800000000000004e+01	1.104909999999999926e+01	1.335341602948231454e+01
3.000000000000000000e+02	1.000000000000000056e-01	1.114199999999999946e+01	1.113550000000000040e+01	1.386765557305591479e+01
3.000000000000000000e+02	2.000000000000000111e-01	1.116099999999999959e+01	1.114860000000000007e+01	1.191652135170151183e+01
3.000000000000000000e+02	2.999999999999999889e-01	1.117300000000000004e+01	1.116179999999999950e+01	1.308797389106377018e+01
3.000000000000000000e+02	4.000000000000000222e-01	1.118999999999999950e+01	1.117530000000000001e+01	1.467676140366915583e+01
3.000000000000000000e+02	5.000000000000000000e-01	1.120400000000000063e+01	1.118900000000000006e+01	1.343689381847514852e+01
3.000000000000000000e+02	5.999999999999999778e-01	1.121599999999999930e+01	1.120289999999999964e+01	1.292064664712513355e+01
3.000000000000000000e+02	6.999999999999999556e-01	1.122799999999999976e+01	1.121710000000000029e+01	1.235976797277245076e+01
3.000000000000000000e+02	8.000000000000000444e-01	1.123799999999999955e+01	1.123150000000000048e+01	1.299285616226295126e+01
3.000000000000000000e+02	9.000000000000000222e-01	1.125300000000000011e+01	1.124610000000000021e+01	1.301802854530458298e+01
3.000000000000000000e+02	1.000000000000000000e+00	1.126800000000000068e+01	1.126099999999999923e+01	1.375096139579042109e+01
3.000000000000000000e+02	1.250000000000000000e+00	1.130599999999999916e+01	1.129920000000000080e+01	1.264163287091818688e+01
3.000000000000000000e+02	1.489999999999999991e+00	1.134200000000000053e+01	1.133719999999999928e+01	1.340175683421878894e+01
3.000000000000000000e+02	1.750000000000000000e+00	1.138299999999999912e+01	1.138010000000000055e+01	1.087280735736664283e+01
3.000000000000000000e+02	2.000000000000000000e+00	1.142399999999999949e+01	1.142290000000000028e+01	1.290768983299592598e+01
3.000000000000000000e+02	2.250000000000000000e+00	1.146799999999999997e+01	1.146720000000000006e+01	1.225791313308727837e+01
3.000000000000000000e+02	2.490000000000000213e+00	1.151099999999999923e+01	1.151130000000000031e+01	1.406233741833225537e+01
3.000000000000000000e+02	2.740000000000000213e+00	1.155799999999999983e+01	1.155889999999999951e+01	1.294459117293587980e+01
3.000000000000000000e+02	2.990000000000000213e+00	1.160500000000000043e+01	1.160810000000000031e+01	1.255129799000549973e+01
3.000000000000000000e+02	3.250000000000000000e+00	1.165700000000000003e+01	1.166099999999999959e+01	1.384663669738720060e+01
3.000000000000000000e+02	3.500000000000000000e+00	1.171100000000000030e+01	1.171369999999999933e+01	1.290183149885417713e+01
3.000000000000000000e+02	3.750000000000000000e+00	1.176699999999999946e+01	1.176810000000000045e+01	1.285764728643062682e+01
3.000000000000000000e+02	3.990000000000000213e+00	1.182000000000000028e+01	1.182199999999999918e+01	1.289227755632274430e+01
3.000000000000000000e+02	4.250000000000000000e+00	1.187899999999999956e+01	1.188219999999999921e+01	1.318478356112376026e+01
3.000000000000000000e+02	4.500000000000000000e+00	1.193900000000000006e+01	1.194200000000000017e+01	1.297460505255601859e+01
3.200000000000000000e+02	1.000000000000000056e-01	1.177299999999999969e+01	1.177270000000000039e+01	1.333645172428989234e+01
3.200000000000000000e+02	2.000000000000000111e-01	1.179499999999999993e+01	1.178529999999999944e+01	1.294108845452316459e+01
3.200000000000000000e+02	2.999999999999999889e-01	1.180899999999999928e+01	1.179809999999999981e+01	1.393237921370333154e+01
3.200000000000000000e+02	4.000000000000000222e-01	1.182099999999999973e+01	1.181109999999999971e+01	1.253121158746416874e+01
3.200000000000000000e+02	5.000000000000000000e-01	1.183500000000000085e+01	1.182429999999999914e+01	1.096541781088734524e+01
3.200000000000000000e+02	5.999999999999999778e-01	1.184600000000000009e+01	1.183760000000000012e+01	1.216114720110956959e+01
3.200000000000000000e+02	6.999999999999999556e-01	1.185899999999999999e+01	1.185120000000000040e+01	1.228557540084047872e+01
3.200000000000000000e+02	8.000000000000000444e-01	1.187100000000000044e+01	1.186500000000000021e+01	1.248009281354987365e+01
3.200000000000000000e+02	9.000000000000000222e-01	1.188199999999999967e+01	1.187889999999999979e+01	1.280823063318955057e+01
3.200000000000000000e+02	1.000000000000000000e+00	1.189799999999999969e+01	1.189300000000000068e+01	1.263042350620254517e+01
3.200000000000000000e+02	1.250000000000000000e+00	1.193200000000000038e+01	1.192919999999999980e+01	1.423092104209609232e+01
3.200000000000000000e+02	1.500000000000000000e+00	1.196700000000000053e+01	1.196659999999999968e+01	1.270961047676271605e+01
3.200000000000000000e+02	1.750000000000000000e+00	1.200300000000000011e+01	1.200520000000000032e+01	1.324033455273455751e+01
3.200000000000000000e+02	2.000000000000000000e+00	1.204400000000000048e+01	1.204499999999999993e+01	1.290319428477151931e+01
3.200000000000000000e+02	2.250000000000000000e+00	1.208399999999999963e+01	1.208610000000000007e+01	1.302954427226228162e+01
3.200000000000000000e+02	2.490000000000000213e+00	1.212299999999999933e+01	1.212679999999999936e+01	1.406241271337324683e+01
3.200000000000000000e+02	2.740000000000000213e+00	1.216699999999999982e+01	1.217040000000000077e+01	1.354308406179988467e+01
3.200000000000000000e+02	3.000000000000000000e+00	1.221000000000000085e+01	1.221710000000000029e+01	1.259725542453093894e+01
3.200000000000000000e+02	3.259999999999999787e+00	1.225999999999999979e+01	1.226529999999999987e+01	1.290362224657810941e+01
3.200000000000000000e+02	3.490000000000000213e+00	1.230300000000000082e+01	1.230899999999999928e+01	1.276863249103515230e+01
3.200000000000000000e+02	3.759999999999999787e+00	1.235299999999999976e+01	1.236190000000000033e+01	1.254705490376620958e+01
3.200000000000000000e+02	4.009999999999999787e+00	1.240600000000000058e+01	1.241220000000000034e+01	1.314374253837719486e+01
3.200000000000000000e+02	4.250000000000000000e+00	1.245500000000000007e+01	1.246189999999999998e+01	1.269397632561728884e+01
3.200000000000000000e+02	4.509999999999999787e+00	1.251299999999999990e+01	1.251699999999999946e+01	1.301600823171545684e+01
3.400000000000000000e+02	1.000000000000000056e-01	1.240199999999999925e+01	1.239450000000000074e+01	1.270489785966582019e+01
3.400000000000000000e+02	2.000000000000000111e-01	1.242099999999999937e+01	1.240670000000000073e+01	1.202824270679560925e+01
3.400000000000000000e+02	2.999999999999999889e-01	1.243900000000000006e+01	1.241910000000000025e+01	1.205116179350677719e+01
3.400000000000000000e+02	4.000000000000000222e-01	1.245199999999999996e+01	1.243159999999999954e+01	1.373802086031807157e+01
3.400000000000000000e+02	5.000000000000000000e-01	1.246100000000000030e+01	1.244430000000000014e+01	1.330334084603360978e+01
3.400000000000000000e+02	5.999999999999999778e-01	1.247199999999999953e+01	1.245710000000000051e+01	1.269287457517541817e+01
3.400000000000000000e+02	6.999999999999999556e-01	1.248399999999999999e+01	1.247010000000000041e+01	1.338854503592966338e+01
3.400000000000000000e+02	8.000000000000000444e-01	1.249600000000000044e+01	1.248320000000000007e+01	1.376301348245082856e+01
3.400000000000000000e+02	9.100000000000000311e-01	1.250900000000000034e+01	1.249779999999999980e+01	1.236395783227895606e+01
3.400000000000000000e+02	1.000000000000000000e+00	1.252100000000000080e+01	1.250999999999999979e+01	1.245310797190935581e+01
3.400000000000000000e+02	1.260000000000000009e+00	1.255799999999999983e+01	1.254570000000000007e+01	1.315484340857910439e+01
3.400000000000000000e+02	1.489999999999999991e+00	1.258399999999999963e+01	1.257820000000000071e+01	1.270206410707550759e+01
3.400000000000000000e+02	1.750000000000000000e+00	1.261599999999999966e+01	1.261589999999999989e+01	1.263064745399945288e+01
3.400000000000000000e+02	1.989999999999999991e+00	1.265399999999999991e+01	1.265179999999999971e+01	1.198275592510624499e+01
3.400000000000000000e+02	2.250000000000000000e+00	1.268999999999999950e+01	1.269159999999999933e+01	1.303631848326616982e+01
3.400000000000000000e+02	2.500000000000000000e+00	1.272799999999999976e+01	1.273099999999999987e+01	1.312079745811580267e+01
3.400000000000000000e+02	2.750000000000000000e+00	1.276299999999999990e+01	1.277139999999999986e+01	1.268447653356031246e+01
3.400000000000000000e+02	3.000000000000000000e+00	1.280400000000000027e+01	1.281290000000000084e+01	1.257179527787682360e+01
3.400000000000000000e+02	3.240000000000000213e+00	1.284399999999999942e+01	1.285360000000000014e+01	1.217375294504010164e+01
3.400000000000000000e+02	3.509999999999999787e+00	1.289000000000000057e+01	1.290070000000000050e+01	1.263926522547519049e+01
3.400000000000000000e+02	3.750000000000000000e+00	1.293200000000000038e+01	1.294350000000000023e+01	1.143363216780134906e+01
3.400000000000000000e+02	4.000000000000000000e+00	1.297799999999999976e+01	1.298920000000000030e+01	1.152356000296552629e+01
3.400000000000000000e+02	4.250000000000000000e+00	1.302599999999999980e+01	1.303589999999999982e+01	1.293217320357213929e+01
3.400000000000000000e+02	4.490000000000000213e+00	1.306900000000000084e+01	1.308179999999999943e+01	1.298591847030348667e+01
3.600000000000000000e+02	1.000000000000000056e-01	1.299499999999999922e+01	1.300169999999999959e+01	1.347684501536313384e+01
3.600000000000000000e+02	2.000000000000000111e-01	1.301800000000000068e+01	1.301350000000000051e+01	1.295357562063178669e+01
3.600000000000000000e+02	2.999999999999999889e-01	1.303200000000000003e+01	1.302549999999999919e+01	1.394501754668036497e+01
3.600000000000000000e+02	4.000000000000000222e-01	1.304400000000000048e+01	1.303749999999999964e+01	1.378832431984295503e+01
3.600000000000000000e+02	5.000000000000000000e-01	1.305799999999999983e+01	1.304969999999999963e+01	1.253150609763113543e+01
3.600000000000000000e+02	5.999999999999999778e-01	1.306700000000000017e+01	1.306199999999999939e+01	1.252036293325893901e+01
3.600000000000000000e+02	6.999999999999999556e-01	1.307900000000000063e+01	1.307450000000000045e+01	1.252082885443665639e+01
3.600000000000000000e+02	8.000000000000000444e-01	1.309200000000000053e+01	1.308709999999999951e+01	1.344304553053545703e+01
3.600000000000000000e+02	9.000000000000000222e-01	1.309999999999999964e+01	1.309980000000000011e+01	1.273552786614686383e+01
3.600000000000000000e+02	1.000000000000000000e+00	1.311400000000000077e+01	1.311260000000000048e+01	1.288238495547962259e+01
3.600000000000000000e+02	1.250000000000000000e+00	1.314499999999999957e+01	1.314530000000000065e+01	1.258788201572040499e+01
3.600000000000000000e+02	1.500000000000000000e+00	1.317600000000000016e+01	1.317880000000000074e+01	1.391635827429470496e+01
3.600000000000000000e+02	1.750000000000000000e+00	1.320700000000000074e+01	1.321310000000000073e+01	1.238981396895147924e+01
3.600000000000000000e+02	2.000000000000000000e+00	1.323799999999999955e+01	1.324830000000000041e+01	1.295166066669543881e+01
3.600000000000000000e+02	2.250000000000000000e+00	1.327500000000000036e+01	1.328420000000000023e+01	1.341118574653670414e+01
3.600000000000000000e+02	2.500000000000000000e+00	1.331000000000000050e+01	1.332109999999999950e+01	1.214290677631737481e+01
3.600000000000000000e+02	2.740000000000000213e+00	1.333999999999999986e+01	1.335720000000000063e+01	1.348895734449012096e+01
3.600000000000000000e+02	3.000000000000000000e+00	1.337700000000000067e+01	1.339729999999999954e+01	1.346735962487727534e+01
3.600000000000000000e+02	3.250000000000000000e+00	1.341600000000000037e+01	1.343660000000000032e+01	1.391417649033737547e+01
3.600000000000000000e+02	3.500000000000000000e+00	1.345400000000000063e+01	1.347690000000000055e+01	1.301118540570289284e+01
3.600000000000000000e+02	3.750000000000000000e+00	1.349600000000000044e+01	1.351789999999999914e+01	1.287508086264197082e+01
3.600000000000000000e+02	4.000000000000000000e+00	1.353899999999999970e+01	1.355990000000000073e+01	1.224111975571219624e+01
3.600000000000000000e+02	4.250000000000000000e+00	1.358000000000000007e+01	1.360260000000000069e+01	1.292730816082004530e+01
3.600000000000000000e+02	4.500000000000000000e+00	1.362400000000000055e+01	1.364630000000000010e+01	1.255686192232134424e+01
2.331500000000000057e+02	1.300000000000000044e-01	8.941000000000000725e+00	8.889709999999999113e+00	1.259583963915446247e+01
2.331500000000000057e+02	3.149999999999999911e+00	9.743000000000000327e+00	9.557660000000000267e+00	1.419347321523091665e+01
2.631499999999999773e+02	1.300000000000000044e-01	9.968999999999999417e+00	9.923090000000000188e+00	1.317057790837507447e+01
2.631499999999999773e+02	3.689999999999999947e+00	1.079800000000000004e+01	1.064649999999999963e+01	1.030920992310104012e+01
2.931499999999999773e+02	1.499999999999999944e-01	1.097899999999999920e+01	1.092019999999999946e+01	1.279743268846343440e+01
2.931499999999999773e+02	1.600000000000000033e-01	1.097700000000000031e+01	1.092149999999999999e+01	1.176116568101850746e+01
2.931499999999999773e+02	4.219999999999999751e+00	1.180700000000000038e+01	1.167559999999999931e+01	1.223851009471045259e+01
3.331499999999999773e+02	1.700000000000000122e-01	1.226099999999999923e+01	1.219180000000000064e+01	1.320330543007857571e+01
3.731499999999999773e+02	1.900000000000000022e-01	1.347899999999999920e+01	1.340380000000000038e+01	1.228042316136576417e+01
3.731499999999999773e+02	2.000000000000000111e-01	1.348199999999999932e+01	1.340499999999999936e+01	1.288051128851332905e+01
4.231499999999999773e+02	2.099999999999999922e-01	1.490099999999999980e+01	1.484350000000000058e+01	1.189256436377587178e+01
4.731499999999999773e+02	2.300000000000000100e-01	1.628000000000000114e+01	1.621020000000000039e+01	1.723103115508421723e+01
5.231499999999999773e+02	2.600000000000000089e-01	1.757700000000000173e+01	1.751409999999999911e+01	1.368897799818572381e+01
5.231499999999999773e+02	2.700000000000000178e-01	1.758999999999999986e+01	1.751500000000000057e+01	1.353558205928272251e+01
2.731000000000000227e+02	1.060000000000000053e+00	1.052999999999999936e+01	1.039530000000000065e+01	1.734151974023444254e+01
2.731000000000000227e+02	1.429999999999999938e+00	1.058000000000000007e+01	1.045780000000000065e+01	1.321037772330564586e+01
2.731000000000000227e+02	1.810000000000000053e+00	1.058999999999999986e+01	1.052679999999999971e+01	1.294020030741369354e+01
2.731000000000000227e+02	2.609999999999999876e+00	1.082000000000000028e+01	1.068880000000000052e+01	1.298748118494355630e+01
2.731000000000000227e+02	3.009999999999999787e+00	1.078999999999999915e+01	1.077890000000000015e+01	1.260506000974951490e+01
2.731000000000000227e+02	3.569999999999999840e+00	1.100000000000000000e+01	1.091580000000000084e+01	1.266715942045961185e+01
2.731000000000000227e+02	4.240000000000000213e+00	1.116000000000000014e+01	1.109720000000000084e+01	1.260034588050951143e+01
