Temperature (K)	Pressure (MPa)	Volume (m3/kg)	Reference
192.87	33.4	0.0028260656946779	Cheng-1972
192.87	52.9	0.0026456356551851	Cheng-1972
192.87	71.4	0.0025299232491112	Cheng-1972
192.87	97.9	0.0024164582535861	Cheng-1972
212.0	40.1	0.0029351678711734	Cheng-1972
212.0	58.6	0.0027375258366319	Cheng-1972
212.0	74.6	0.0026259341012173	Cheng-1972
212.0	95.03	0.0025193317647839	Cheng-1972
225.07	42.8	0.0029958596859636	Cheng-1972
225.07	62.5	0.0028017445544368	Cheng-1972
225.07	82.3	0.0026552357845659	Cheng-1972
225.07	108.7	0.0025218182927231	Cheng-1972
237.57	30.2	0.0034744305606353	Cheng-1972
237.57	60.6	0.0029046179917289	Cheng-1972
237.57	94.2	0.0026440199518591	Cheng-1972
249.43	41.1	0.0033148376002718	Cheng-1972
249.43	58.1	0.0030261795030906	Cheng-1972
249.43	74.4	0.0028522474551934	Cheng-1972
249.43	94.2	0.0027076010896946	Cheng-1972
261.55	40.7	0.0034800549074711	Cheng-1972
261.55	53.3	0.0032026208814519	Cheng-1972
261.55	68.0	0.0030043631043444	Cheng-1972
261.55	82.6	0.0028647113262481	Cheng-1972
261.55	100.1	0.0027394023126012	Cheng-1972
278.71	34.8	0.0039519847135966	Cheng-1972
278.71	50.0	0.0034301762649584	Cheng-1972
278.71	62.4	0.0031945142268329	Cheng-1972
278.71	77.4	0.0030087273190551	Cheng-1972
278.71	95.9	0.0028175849942546	Cheng-1972
293.41	46.5	0.003711778168458	Cheng-1972
293.41	64.0	0.0033079780783203	Cheng-1972
293.41	94.7	0.002939527257466	Cheng-1972
303.29	36.9	0.0043834250635162	Cheng-1972
303.29	51.6	0.0037400350133101	Cheng-1972
309.29	66.7	0.0032042010408013	Cheng-1972
309.29	84.7	0.0031284223767643	Cheng-1972
303.29	105.8	0.0029307938403294	Cheng-1972
240.3	4.6219	0.0210089771359301	Goodwin-1972
250.0	5.1203	0.021040884121118	Goodwin-1972
260.0	5.416	0.0210728881699756	Goodwin-1972
270.0	5.7089	0.0211049897260909	Goodwin-1972
280.0	5.9996	0.0211371892357595	Goodwin-1972
290.0	6.2872	0.0211694871480043	Goodwin-1972
300.0	6.5748	0.0212040472249754	Goodwin-1972
208.0	4.6349	0.0157319487372562	Goodwin-1972
212.0	4.8124	0.0157418795199658	Goodwin-1972
216.0	4.9885	0.0157518228481954	Goodwin-1972
220.0	5.1632	0.0157617787457331	Goodwin-1972
225.0	5.38	0.0157745406737697	Goodwin-1972
230.0	5.5949	0.0157873232845968	Goodwin-1972
240.0	6.0204	0.0158125496869842	Goodwin-1972
250.0	6.4407	0.0158382591903241	Goodwin-1972
260.0	6.8568	0.0158636487661254	Goodwin-1972
270.0	7.2682	0.0158899298205359	Goodwin-1972
280.0	7.6756	0.015916298098257	Goodwin-1972
290.0	8.0805	0.0159431617355955	Goodwin-1972
300.0	8.4819	0.0159709344325424	Goodwin-1972
200.0	4.7641	0.0126710580161117	Goodwin-1972
204.3	5.0036	0.0126795622548501	Goodwin-1972
208.0	5.2409	0.0126883361454915	Goodwin-1972
212.0	5.4744	0.0126968636004384	Goodwin-1972
216.0	5.7052	0.0127054025251936	Goodwin-1972
220.0	5.933	0.012714212226139	Goodwin-1972
225.0	6.2178	0.0127248519514374	Goodwin-1972
230.3	6.4995	0.0127357696622962	Goodwin-1972
240.0	7.0563	0.0127576613839061	Goodwin-1972
250.0	7.606	0.0127796284951772	Goodwin-1972
260.0	8.1491	0.0128019342596096	Goodwin-1972
270.0	8.6867	0.0128243180258511	Goodwin-1972
260.0	9.219	0.0128473096731454	Goodwin-1972
290.0	9.7469	0.0128703839081075	Goodwin-1972
300.0	10.2699	0.0128935411765294	Goodwin-1972
196.0	4.8493	0.010489465744237	Goodwin-1972
200.0	5.1565	0.0104970601513457	Goodwin-1972
204.0	5.458	0.010504488567965	Goodwin-1972
208.0	5.7577	0.0105121047516942	Goodwin-1972
212.0	6.3538	0.0105197319875257	Goodwin-1972
216.0	6.3471	0.0105271925383933	Goodwin-1972
220.0	6.6376	0.0105348416923017	Goodwin-1972
230.0	7.3565	0.0105539239658167	Goodwin-1972
240.0	8.0641	0.010944288536974	Goodwin-1972
253.0	8.7631	0.0105924766214507	Goodwin-1972
260.0	9.4542	0.0106119490801329	Goodwin-1972
270.0	10.1384	0.010631674565292	Goodwin-1972
260.0	10.8156	0.0106514735184556	Goodwin-1972
290.0	11.4673	0.0106713463508392	Goodwin-1972
300.0	12.1534	0.010691476823102	Goodwin-1972
192.0	4.6845	0.0089295224227094	Goodwin-1972
