Temperature (K),Pressure (MPa),Volume (m3/kg),Reference
145.556,18.4018,0.002532235304785206,van Itterbeek-1963
145.556,22.2583,0.002504172928726696,van Itterbeek-1963
145.556,26.5891,0.0024759978256381297,van Itterbeek-1963
145.556,31.4581,0.002447690264496035,van Itterbeek-1963
150.75,3.1021,0.0027566752146019266,van Itterbeek-1963
150.75,5.1885,0.0027472608380868643,van Itterbeek-1963
150.75,7.5115,0.0026911449189719887,van Itterbeek-1963
150.75,10.0392,0.0026600393241061346,van Itterbeek-1963
150.75,12.8071,0.0026306099137480858,van Itterbeek-1963
150.75,15.7454,0.0026016834140496882,van Itterbeek-1963
150.75,19.0,0.0025735667436211163,van Itterbeek-1963
150.75,22.6137,0.002544949612644414,van Itterbeek-1963
150.75,26.6405,0.0025165859877720265,van Itterbeek-1963
150.75,30.9862,0.002488033157639707,van Itterbeek-1963
158.238,2.2895,0.002895444860665281,van Itterbeek-1963
158.238,3.9627,0.0028553565134753806,van Itterbeek-1963
158.238,5.8951,0.002816274021930281,van Itterbeek-1963
158.238,8.0251,0.0027786184333480177,van Itterbeek-1963
158.238,10.3898,0.002742897478183348,van Itterbeek-1963
158.238,12.9358,0.002708600981482151,van Itterbeek-1963
158.238,15.7625,0.0026756222812466834,van Itterbeek-1963
158.238,18.908,0.002643515449201266,van Itterbeek-1963
158.238,22.3624,0.002611601024249028,van Itterbeek-1963
158.238,26.1723,0.002579487101388242,van Itterbeek-1963
158.238,30.4591,0.002547695197985873,van Itterbeek-1963
158.316,3.0556,0.0030465722059487155,van Itterbeek-1963
158.816,4.2201,0.003002496599942824,van Itterbeek-1963
158.816,5.6269,0.00295997320584894,van Itterbeek-1963
158.816,7.1461,0.00291914312173399,van Itterbeek-1963
165.816,8.7639,0.00287955713240616,van Itterbeek-1963
165.816,10.6276,0.0028421442609672326,van Itterbeek-1963
165.816,12.5484,0.002805855254255206,van Itterbeek-1963
165.816,14.6708,0.0027707028803296138,van Itterbeek-1963
165.816,16.9635,0.0027369129308078806,van Itterbeek-1963
165.816,19.4903,0.0027036206184380737,van Itterbeek-1963
165.816,25.2431,0.002638347001729695,van Itterbeek-1963
165.816,28.8859,0.002606981582186085,van Itterbeek-1963
171.02,3.0512,0.0032036082983501434,van Itterbeek-1963
171.02,3.962,0.0031554191079408043,van Itterbeek-1963
171.02,4.9881,0.00310667535309664,van Itterbeek-1963
171.02,6.1856,0.0030599702392190464,van Itterbeek-1963
171.02,7.5316,0.003015027693994177,van Itterbeek-1963
171.02,9.0173,0.0029715703211062225,van Itterbeek-1963
171.02,10.6293,0.002930490763544408,van Itterbeek-1963
171.02,12.408,0.002891268783460144,van Itterbeek-1963
171.02,14.2859,0.0028537488854398323,van Itterbeek-1963
171.02,16.3662,0.002817521326635998,van Itterbeek-1963
171.32,18.6301,0.002781730307463535,van Itterbeek-1963
171.02,21.0832,0.002747636178371746,van Itterbeek-1963
171.02,23.8168,0.0027133399044637348,van Itterbeek-1963
171.02,26.8002,0.0026794861285789778,van Itterbeek-1963
171.02,30.0808,0.0026349459923024755,van Itterbeek-1963
172.812,2.6918,0.0032980035364096136,van Itterbeek-1963
172.812,3.4176,0.0032442012400868397,van Itterbeek-1963
172.812,4.3111,0.0031900844620798507,van Itterbeek-1963
172.312,5.3641,0.0031382173476863966,van Itterbeek-1963
172.812,6.5532,0.003088285191723149,van Itterbeek-1963
172.812,7.8943,0.0030261354365797694,van Itterbeek-1963
172.812,9.3956,0.003024579243220025,van Itterbeek-1963
172.812,11.0311,0.002952417783933398,van Itterbeek-1963
172.812,12.3956,0.0029113457262411285,van Itterbeek-1963
172.812,14.8729,0.0028713874987736287,van Itterbeek-1963
172.312,16.9458,0.0028329746371939654,van Itterbeek-1963
172.812,19.3398,0.0027955132906249693,van Itterbeek-1963
172.812,21.9091,0.0027586024562441776,van Itterbeek-1963
172.812,24.7494,0.0027224990677074193,van Itterbeek-1963
172.312,27.9157,0.0026868420561929366,van Itterbeek-1963
172.812,31.3431,0.002651746006093965,van Itterbeek-1963
179.526,3.8288,0.003492394974672731,van Itterbeek-1963
179.526,4.3914,0.003428497404373753,van Itterbeek-1963
179.526,5.0375,0.0033668959890949196,van Itterbeek-1963
179.526,5.8367,0.0033087329917723817,van Itterbeek-1963
179.526,6.7352,0.0032526132731029115,van Itterbeek-1963
179.526,7.7613,0.003199563753560281,van Itterbeek-1963
179.526,8.9123,0.0031484395024075195,van Itterbeek-1963
179.526,10.2227,0.0031000019716012532,van Itterbeek-1963
