# Temperature (K)	Pressure (MPa)	Experimental(J/mol*K)	NIST(J/mol*K)	Model(J/mol*K)
1.275900000000000034e+02	4.139999999999999680e+00	5.693299999999999983e+01	5.698930000000000007e+01	5.499676066094066584e+01
1.331500000000000057e+02	4.139999999999999680e+00	5.787299999999999756e+01	5.786869999999999692e+01	5.819025337767213557e+01
1.387100000000000080e+02	4.139999999999999680e+00	5.914860000000000184e+01	5.893289999999999651e+01	6.132448031933394361e+01
1.442599999999999909e+02	4.139999999999999680e+00	6.035710000000000264e+01	6.024099999999999966e+01	6.445034888656088867e+01
1.498199999999999932e+02	4.139999999999999680e+00	6.176700000000000301e+01	6.188949999999999818e+01	6.758164974804422798e+01
1.553700000000000045e+02	4.139999999999999680e+00	6.384819999999999851e+01	6.401579999999999870e+01	7.070791631808074840e+01
1.609300000000000068e+02	4.139999999999999680e+00	6.686939999999999884e+01	6.687130000000000507e+01	7.383950423972136434e+01
1.664799999999999898e+02	4.139999999999999680e+00	7.089770000000000039e+01	7.090040000000000475e+01	7.696144404935620287e+01
1.720399999999999920e+02	4.139999999999999680e+00	7.761150000000000659e+01	7.710739999999999839e+01	8.005265111826258817e+01
1.775900000000000034e+02	4.139999999999999680e+00	8.902500000000000568e+01	8.818890000000000384e+01	8.317112225485622901e+01
1.831500000000000057e+02	4.139999999999999680e+00	1.143359999999999985e+02	1.164830000000000041e+02	8.629521225836263909e+01
1.164800000000000040e+02	4.309999999999999609e+00	5.505319999999999681e+01	5.559069999999999823e+01	4.863312717856824463e+01
1.220400000000000063e+02	4.309999999999999609e+00	5.592600000000000193e+01	5.621340000000000003e+01	5.180008289021186130e+01
1.275900000000000034e+02	4.309999999999999609e+00	5.686590000000000344e+01	5.694169999999999732e+01	5.491224907493311491e+01
1.331500000000000057e+02	4.309999999999999609e+00	5.773870000000000147e+01	5.780930000000000035e+01	5.807208487939928432e+01
1.387100000000000080e+02	4.309999999999999609e+00	5.894720000000000226e+01	5.885730000000000217e+01	6.120955480509907431e+01
1.442599999999999909e+02	4.309999999999999609e+00	6.015559999999999974e+01	6.014300000000000068e+01	6.431365666827545624e+01
1.498199999999999932e+02	4.309999999999999609e+00	6.163269999999999982e+01	6.175880000000000081e+01	6.744323146090380305e+01
1.553700000000000045e+02	4.309999999999999609e+00	6.357970000000000255e+01	6.383559999999999945e+01	7.057119796402703571e+01
1.609300000000000068e+02	4.309999999999999609e+00	6.633230000000000359e+01	6.660999999999999943e+01	7.369848408606682710e+01
1.664799999999999898e+02	4.309999999999999609e+00	7.062919999999999732e+01	7.049389999999999645e+01	7.681424390935629276e+01
1.720399999999999920e+02	4.309999999999999609e+00	7.714159999999999684e+01	7.639780000000000371e+01	7.990253555871311164e+01
1.775900000000000034e+02	4.309999999999999609e+00	8.788360000000000127e+01	8.666230000000000189e+01	8.265634652053370246e+01
1.831500000000000057e+02	4.309999999999999609e+00	1.093007000000000062e+02	1.109410000000000025e+02	8.493910620214181506e+01
1.164800000000000040e+02	4.690000000000000391e+00	5.505319999999999681e+01	5.552120000000000033e+01	4.810224810375015636e+01
1.220400000000000063e+02	4.690000000000000391e+00	5.592600000000000193e+01	5.612859999999999872e+01	5.122765861119566466e+01
1.275900000000000034e+02	4.690000000000000391e+00	5.673160000000000025e+01	5.683720000000000283e+01	5.434744787672131849e+01
1.331500000000000057e+02	4.690000000000000391e+00	5.767150000000000176e+01	5.767889999999999873e+01	5.749397041375816286e+01
1.387100000000000080e+02	4.690000000000000391e+00	5.881289999999999907e+01	5.869210000000000349e+01	6.064295444536747937e+01
1.442599999999999909e+02	4.690000000000000391e+00	6.002139999999999986e+01	5.992949999999999733e+01	6.376692263475030131e+01
1.498199999999999932e+02	4.690000000000000391e+00	6.122990000000000066e+01	6.147579999999999956e+01	6.689690495550655669e+01
1.553700000000000045e+02	4.690000000000000391e+00	6.304260000000000019e+01	6.344780000000000086e+01	7.004274923621468929e+01
1.609300000000000068e+02	4.690000000000000391e+00	6.545959999999999468e+01	6.605360000000000298e+01	7.319330041567984324e+01
1.664799999999999898e+02	4.690000000000000391e+00	6.915210000000000434e+01	6.964190000000000680e+01	7.633101670641769942e+01
1.720399999999999920e+02	4.690000000000000391e+00	7.566450000000000387e+01	7.495090000000000430e+01	7.947075517134727818e+01
1.775900000000000034e+02	4.690000000000000391e+00	8.452670000000000528e+01	8.371939999999999316e+01	8.252310527313179023e+01
1.831500000000000057e+02	4.690000000000000391e+00	1.028554000000000030e+02	1.019260000000000019e+02	8.565308382814441757e+01
1.887100000000000080e+02	4.690000000000000391e+00	1.843608999999999867e+02	1.784979999999999905e+02	8.677593454725787581e+01
1.164800000000000040e+02	5.519999999999999574e+00	5.498599999999999710e+01	5.537349999999999994e+01	4.805581032564211341e+01
1.220400000000000063e+02	5.519999999999999574e+00	5.579169999999999874e+01	5.594899999999999807e+01	5.100957502840110180e+01
1.275900000000000034e+02	5.519999999999999574e+00	5.646309999999999718e+01	5.661699999999999733e+01	5.397153571418582629e+01
1.331500000000000057e+02	5.519999999999999574e+00	5.726870000000000260e+01	5.740559999999999974e+01	5.686494889619680038e+01
1.387100000000000080e+02	5.519999999999999574e+00	5.847720000000000340e+01	5.834799999999999898e+01	5.975836207820776735e+01
1.442599999999999909e+02	5.519999999999999574e+00	5.968569999999999709e+01	5.948850000000000193e+01	6.266415546277008275e+01
1.498199999999999932e+02	5.519999999999999574e+00	6.089419999999999789e+01	6.089739999999999753e+01	6.555730561026695113e+01
1.553700000000000045e+02	5.519999999999999574e+00	6.237120000000000175e+01	6.266660000000000252e+01	6.846454870666107695e+01
1.609300000000000068e+02	5.519999999999999574e+00	6.458679999999999666e+01	6.495520000000000493e+01	7.138078857305940517e+01
1.664799999999999898e+02	5.519999999999999574e+00	6.827930000000000632e+01	6.801069999999999993e+01	7.427889501297623553e+01
1.720399999999999920e+02	5.519999999999999574e+00	7.304609999999999559e+01	7.231719999999999970e+01	7.712189722015718019e+01
