# Temperature (K)	Pressure (MPa)	Experimental(m3/kg)	NIST(m3/kg)	Model(m3/kg)
1.249170000000000016e+02	4.496000000000000441e+00	2.450432144000399930e-03	2.455619999999999938e-03	1.172258947341074317e-03
1.249170000000000016e+02	8.418599999999999639e+00	2.426682378367300049e-03	2.430540000000000131e-03	-2.478882453045159334e-02
1.249170000000000016e+02	1.251900000000000013e+01	2.403555346760199909e-03	2.406870000000000190e-03	6.397384442092826640e-03
1.249170000000000016e+02	1.686289999999999978e+01	2.382047555673799926e-03	2.384100000000000108e-03	-1.866054084967135041e-02
1.249170000000000016e+02	2.179850000000000065e+01	2.359161280040799821e-03	2.360559999999999829e-03	-5.386955555877637886e-03
1.249170000000000016e+02	2.736380000000000123e+01	2.335283880751500007e-03	2.336470000000000213e-03	2.452345214446271376e-03
1.309869999999999948e+02	1.502499999999999947e+00	2.535097820906899793e-03	2.538219999999999886e-03	-3.832906577003913906e-03
1.309869999999999948e+02	4.624600000000000044e+00	2.530601014400499834e-03	2.511890000000000130e-03	-7.321419500974539474e-02
1.309869999999999948e+02	7.934400000000000119e+00	2.480795984627200135e-03	2.486830000000000204e-03	5.893302495402250041e-03
1.309869999999999948e+02	1.151999999999999957e+01	2.459102083071899956e-03	2.462329999999999987e-03	-8.027900037036531100e-03
1.309869999999999948e+02	1.577360000000000007e+01	2.436974336106199901e-03	2.436129999999999893e-03	7.959275712787461030e-03
1.309869999999999948e+02	2.007140000000000057e+01	2.414090929013699982e-03	2.412200000000000195e-03	5.927232749792010758e-03
1.309869999999999948e+02	2.493059999999999832e+01	2.389772256520099943e-03	2.387629999999999961e-03	-1.662271473995030613e-03
1.309869999999999948e+02	3.028740000000000165e+01	2.364592620369300197e-03	2.363060000000000160e-03	4.362892302200827022e-03
1.343280000000000030e+02	6.891000000000000458e-01	2.576747151295199784e-03	2.583139999999999829e-03	8.011089947471905504e-02
1.343280000000000030e+02	2.712299999999999933e+00	2.557110322955100188e-03	2.563100000000000014e-03	1.545606889703279863e-02
1.343280000000000030e+02	5.783100000000000129e+00	2.529861652086799924e-03	2.535599999999999833e-03	7.140438037894304701e-03
1.343280000000000030e+02	9.129599999999999937e+00	2.503489137846300148e-03	2.508810000000000207e-03	-2.499816880124627883e-04
1.343280000000000030e+02	1.278260000000000041e+01	2.478557159305400191e-03	2.482569999999999916e-03	3.567793369142063797e-04
1.343280000000000030e+02	1.662549999999999883e+01	2.453923681147700091e-03	2.457669999999999907e-03	-5.041282116828721405e-04
1.343280000000000030e+02	2.094660000000000011e+01	2.429301637774900196e-03	2.432329999999999909e-03	2.259397080798475343e-03
1.343280000000000030e+02	2.576780000000000115e+01	2.404111461415699928e-03	2.406750000000000035e-03	4.012289034296331880e-04
