Temperature (K)	Pressure (MPa)	Enthalpy (kJ/mol)	Reference	Outlier
205.37	3.79	10.5429	Jones-1963	1
210.93	3.79	10.8452	Jones-1963	1
216.48	3.79	11.1251	Jones-1963	1
222.04	3.79	11.3864	Jones-1963	1
227.59	3.79	11.6401	Jones-1963	1
233.15	3.79	11.8902	Jones-1963	1
238.71	3.79	12.1328	Jones-1963	1
244.26	3.79	12.3679	Jones-1963	1
249.82	3.79	12.5993	Jones-1963	1
255.37	3.79	12.8307	Jones-1963	1
260.93	3.79	13.0583	Jones-1963	1
266.48	3.79	13.2822	Jones-1963	1
272.04	3.79	13.5061	Jones-1963	1
277.59	3.79	13.7301	Jones-1963	1
283.15	3.79	13.9503	Jones-1963	1
188.71	4.14	8.8896	Jones-1963	1
190.59	4.14	9.1733	Jones-1963	1
194.26	4.14	9.5539	Jones-1963	1
197.04	4.14	9.7928	Jones-1963	1
199.82	4.14	9.9981	Jones-1963	1
202.59	4.14	10.1847	Jones-1963	1
205.37	4.14	10.3638	Jones-1963	1
210.93	4.14	10.6847	Jones-1963	1
216.48	4.14	10.9833	Jones-1963	1
222.04	4.14	11.2632	Jones-1963	1
227.59	4.14	11.5282	Jones-1963	1
233.15	4.14	11.7857	Jones-1963	1
238.71	4.14	12.032	Jones-1963	1
244.26	4.14	12.2746	Jones-1963	1
249.82	4.14	12.5134	Jones-1963	1
255.37	4.14	12.7485	Jones-1963	1
260.93	4.14	12.9799	Jones-1963	1
266.48	4.14	13.2113	Jones-1963	1
272.04	4.14	13.4352	Jones-1963	1
277.59	4.14	13.6592	Jones-1963	1
283.15	4.14	13.8831	Jones-1963	1
190.59	4.31	8.9232	Jones-1963	1
194.26	4.31	9.3823	Jones-1963	1
197.04	4.31	9.6398	Jones-1963	1
199.82	4.31	9.8637	Jones-1963	1
202.59	4.31	10.069	Jones-1963	1
205.37	4.31	10.2556	Jones-1963	1
210.93	4.31	10.5989	Jones-1963	1
216.48	4.31	10.9087	Jones-1963	1
222.04	4.31	11.196	Jones-1963	1
227.59	4.31	11.4685	Jones-1963	1
233.15	4.31	11.7372	Jones-1963	1
238.71	4.31	11.9835	Jones-1963	1
244.26	4.31	12.2298	Jones-1963	1
249.82	4.31	12.4724	Jones-1963	1
255.37	4.31	12.7075	Jones-1963	1
260.93	4.31	12.9426	Jones-1963	1
266.48	4.31	13.174	Jones-1963	1
272.04	4.31	13.4016	Jones-1963	1
277.59	4.31	13.6293	Jones-1963	1
283.15	4.31	13.857	Jones-1963	1
