Temperature (K)	Pressure (MPa)	Viscosity (uPa*s)	Reference	Outlier
310.93	1.82	11.629	Carmichael-1965	1
310.93	1.85	11.684	Carmichael-1965	1
310.93	1.94	11.569	Carmichael-1965	1
310.93	1.94	11.616	Carmichael-1965	1
310.93	1.94	11.644	Carmichael-1965	1
377.59	1.86	13.62	Carmichael-1965	1
377.59	1.86	13.621	Carmichael-1965	1
377.59	1.86	13.653	Carmichael-1965	1
444.26	1.97	15.579	Carmichael-1965	-1
444.26	1.97	15.602	Carmichael-1965	-1
444.26	1.97	15.604	Carmichael-1965	-1
444.26	1.97	15.605	Carmichael-1965	-1
477.59	3.17	16.526	Carmichael-1965	-1
477.59	3.17	16.551	Carmichael-1965	-1
477.59	3.17	16.553	Carmichael-1965	-1
227.59	2.03	8.82	Barua-1964	-1
241.48	1.01	9.555	Barua-1964	1
241.48	3.04	9.98	Barua-1964	-1
255.37	2.62	10.644	Barua-1964	1
269.26	2.9	11.479	Barua-1964	1
297.04	2.9	13.037	Barua-1964	1
338.71	1.17	15.063	Barua-1964	1
338.71	2.85	15.233	Barua-1964	1
